Total Population,Total Households,Median Household Income (Current Year $),Total Households For Period Of Construction,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 190,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Period Of Construction Built Between 2006 And 2010,Total Households For Period Of Construction Built Between 2011 And 2015,Total Households For Period Of Construction Built Between 2016 And 2021,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Total Households for Tenure,Dwellings by Tenure Owner,Dwellings by Tenure Renter
4012,1660,70000,1660,615,530,200,65,20,35,30,170,1015,680,0,1660,955,700
5071,1580,90000,1580,40,1045,290,150,15,15,0,15,1370,235,0,1580,1110,465
667,335,56000,335,50,95,55,50,30,25,25,0,330,0,5,335,305,35
6147,1965,99000,1965,50,175,125,255,615,490,150,110,1675,275,15,1965,1785,180
3881,1850,75000,1850,260,270,180,305,240,185,225,190,1730,105,15,1850,1705,145
2991,1610,92000,1610,75,220,720,245,225,95,30,10,300,1330,0,1610,1200,415
4508,1165,110000,1165,0,0,0,15,0,430,365,350,1200,0,0,1165,995,170
3967,1310,103000,1310,515,375,155,130,30,40,40,25,1290,35,0,1310,1195,120
5874,3050,72000,3050,315,670,895,800,80,175,35,80,165,2890,0,3050,1410,1640
3909,1695,74000,1695,955,480,50,40,35,0,10,120,1210,500,0,1695,1035,655
2156,825,81000,825,15,470,305,30,10,0,0,0,800,25,0,825,610,210
1907,955,57200,955,615,235,40,30,0,15,0,10,95,865,0,955,140,810
333,85,109000,85,10,0,35,15,0,0,0,0,75,10,0,85,75,10
4281,1505,145000,1505,420,720,85,40,15,35,70,110,1420,75,10,1505,1410,90
4848,1930,85000,1930,40,85,185,480,430,280,300,130,1055,875,0,1930,1335,595
3011,1050,98000,1050,90,610,295,55,0,0,0,0,980,75,0,1050,950,105
4189,1460,72000,1460,210,410,175,190,240,170,35,25,720,740,0,1460,930,530
4035,1465,109000,1465,655,495,90,65,75,25,35,25,1375,80,10,1465,1355,105
4608,1815,74500,1815,400,360,260,305,115,60,155,150,625,1200,0,1815,980,835
3032,1615,51600,1615,1045,390,90,50,20,0,0,20,45,1590,0,1615,220,1400
6489,3445,65500,3445,10,60,60,895,710,595,180,945,15,3430,0,3445,1845,1605
4014,1465,132000,1465,1005,200,90,30,10,20,45,65,1455,65,0,1465,1280,180
5089,2060,79000,2060,390,535,265,355,110,135,130,140,1775,60,225,2060,1765,300
9294,2225,114000,2225,0,10,0,20,55,495,860,775,2075,140,10,2225,1795,440
2528,870,206000,870,725,60,20,30,10,15,10,0,720,180,0,870,760,110
1942,775,117000,775,480,130,25,20,30,35,30,25,520,255,0,775,580,195
3197,1240,85000,1240,45,900,90,110,50,30,15,0,1165,55,20,1240,1040,200
7753,3040,86000,3040,10,15,0,0,15,55,1010,1935,1885,1170,0,3040,2445,600
5032,2910,41200,2910,1135,855,360,225,50,25,40,225,190,2780,0,2910,575,2340
4325,1765,78000,1765,330,715,395,80,40,40,45,125,1220,550,0,1765,1110,660
4635,2085,70500,2085,760,485,100,105,350,175,105,15,585,1490,10,2085,835,1260
784,340,63600,340,70,130,50,35,15,25,10,10,305,35,0,340,295,50
7486,3065,76500,3065,160,1130,585,365,120,225,250,230,2325,480,260,3065,2630,430
3054,790,100000,790,0,0,0,0,50,365,155,195,770,15,5,790,630,155
4715,2555,52000,2555,980,580,350,325,170,65,60,30,630,2020,0,2555,655,1905
2854,1265,60400,1265,100,830,220,75,25,15,0,0,700,570,0,1265,690,575
3542,2020,52000,2020,985,535,185,145,75,40,35,20,25,1995,0,2020,620,1400
5809,2395,90000,2395,425,655,385,270,160,200,230,75,2215,100,80,2395,2170,225
4934,1740,74000,1740,850,615,85,110,20,10,30,15,955,815,0,1740,820,920
5781,2135,91000,2135,530,285,130,365,215,285,180,150,2140,45,0,2135,1915,225
5356,2240,57200,2240,590,645,505,235,60,120,35,60,1170,1070,0,2240,1130,1110
5382,2705,46800,2705,210,785,285,465,185,175,270,325,715,2030,0,2705,995,1705
4985,2055,74000,2055,130,1635,150,95,25,10,0,10,1365,675,15,2055,1110,950
5327,1830,112000,1830,10,100,680,805,35,10,30,160,1600,225,5,1830,1480,345
4423,1990,70500,1990,95,235,210,505,240,300,230,175,1200,135,655,1990,1815,175
7993,3305,70500,3305,10,105,1130,490,340,120,660,450,1355,1945,5,3305,2370,935
2081,580,85000,580,10,45,160,215,75,45,30,0,280,300,0,580,425,155
6391,3995,71000,3995,30,15,60,130,755,530,1295,1185,0,4115,0,3995,1380,2610
4363,2105,56400,2105,140,435,205,305,155,620,235,20,95,2010,0,2105,725,1380
3641,1800,61200,1800,60,175,375,445,190,190,180,200,280,1550,0,1800,1435,370
3301,1780,40000,1780,105,670,525,445,10,10,10,15,0,1765,15,1780,805,975
21957,7285,97000,7285,110,60,80,425,705,960,1900,3045,6150,1130,5,7285,5565,1720
5886,2080,72500,2080,65,1510,305,85,15,30,30,35,1645,425,10,2080,1485,590
5166,2035,86000,2035,45,515,645,500,55,185,60,30,1235,645,155,2035,1565,465
9352,3410,74500,3410,40,205,125,385,285,750,850,760,2425,905,80,3410,2355,1055
3533,1260,98000,1260,490,375,100,15,50,30,25,175,1075,195,0,1260,1075,185
1818,985,40800,985,425,335,80,80,30,0,0,35,260,735,0,985,265,720
4869,3240,61200,3240,525,755,275,230,125,325,845,165,25,3155,60,3240,990,2255
7505,3845,75000,3845,15,35,20,255,1780,760,825,145,215,3675,0,3845,2235,1615
4270,1615,85000,1615,10,10,55,290,540,645,50,15,950,660,5,1615,1245,370
3871,1825,60400,1825,295,1045,125,95,35,65,100,55,1010,785,30,1825,1075,750
4916,2430,55200,2430,1570,545,110,75,35,70,15,15,160,2250,20,2430,880,1550
4495,2080,85000,2080,500,345,265,335,215,100,110,210,1990,150,0,2080,1755,325
714,265,88000,265,115,55,40,15,15,0,10,10,245,25,0,265,225,40
4014,1275,130000,1275,290,525,170,130,50,40,45,40,1310,5,0,1275,1170,115
3374,1375,74000,1375,40,40,65,370,305,460,70,30,830,535,10,1375,1115,260
8283,2930,102000,2930,45,415,760,565,310,195,440,205,2480,450,0,2930,2720,215
4039,2030,52800,2030,135,1295,300,150,55,20,45,15,1045,970,15,2030,915,1110
1804,685,86000,685,0,265,395,15,0,0,0,0,665,25,0,685,660,25
3793,1315,73500,1315,460,555,130,120,10,15,20,10,755,560,0,1315,665,655
6392,2445,98000,2445,530,515,330,415,240,180,120,120,2405,35,5,2445,2315,130
4215,1430,107000,1430,0,140,285,910,25,35,15,15,1235,175,20,1430,1305,125
3876,1260,127000,1260,0,10,0,80,105,665,390,0,1145,120,0,1260,1170,95
3801,1860,51200,1860,640,630,175,130,60,55,75,90,410,1455,0,1860,640,1220
4377,1975,59200,1975,1125,390,190,100,40,70,20,35,1345,595,35,1975,1170,805
3411,1385,64500,1385,50,225,405,615,40,15,10,10,975,365,45,1385,900,485
5594,3045,60400,3045,620,920,845,585,45,0,15,0,85,2920,40,3045,1005,2040
5784,1740,111000,1740,10,0,35,125,1060,405,105,0,1450,260,30,1740,1535,205
4074,1865,87000,1865,1305,170,45,25,15,85,90,135,650,1205,10,1865,1000,870
5327,1850,86000,1850,35,745,435,70,205,300,45,10,1110,745,0,1850,1555,300
9703,2550,96000,2550,0,0,25,20,75,330,1455,630,2020,590,0,2550,1890,660
4148,1535,78500,1535,15,35,55,120,425,685,200,10,1180,345,10,1535,1115,420
8310,3370,72000,3370,205,535,420,685,325,470,270,465,2665,600,105,3370,2540,830
6542,2340,86000,2340,150,285,470,1285,105,25,0,15,2010,325,5,2340,2000,330
3764,1325,116000,1325,660,315,175,90,15,0,10,50,1275,55,0,1325,1270,55
4369,1685,75000,1685,315,450,195,295,95,70,90,175,410,1235,40,1685,865,820
2656,1025,98000,1025,0,300,570,130,10,10,0,0,970,15,40,1025,885,135
5979,3030,55600,3030,860,680,230,230,95,260,450,220,745,2265,20,3030,1430,1595
5980,2350,102000,2350,85,1270,490,175,95,90,80,65,2050,300,0,2350,2210,145
5128,1760,93000,1760,30,360,295,365,415,180,55,60,1625,140,0,1760,1620,140
5121,2140,68000,2140,45,630,320,275,380,310,150,20,1220,910,10,2140,1085,1055
7265,2695,104000,2695,85,135,615,1060,295,135,130,240,2415,245,35,2695,2195,500
5866,2060,105000,2060,80,260,285,600,300,200,150,175,1925,120,15,2060,1850,205
4718,1830,119000,1830,940,695,65,25,0,25,15,70,1695,135,0,1830,1525,305
4270,1275,88000,1275,300,280,130,210,70,130,80,70,1185,5,85,1275,960,310
4332,1855,69000,1855,285,930,290,155,45,90,50,10,1235,655,0,1855,1210,640
3627,1445,98000,1445,15,260,150,275,275,205,90,185,1310,175,0,1445,1330,125
4639,2705,64500,2705,385,1325,490,275,40,75,40,65,360,2320,25,2705,1470,1235
1975,705,84000,705,130,480,65,10,10,0,10,0,590,140,0,705,495,210
7864,3660,58800,3660,1485,1245,275,220,80,130,70,155,1605,2055,0,3660,1595,2065
3070,1190,74500,1190,75,40,10,50,165,295,450,110,675,535,0,1190,560,630
2282,800,77500,800,65,435,245,40,0,10,0,0,775,5,20,800,560,235
1177,610,58400,610,220,55,10,35,20,15,20,235,85,490,35,610,280,335
6014,1925,101000,1925,150,255,320,185,45,685,205,85,1770,135,20,1925,1690,240
1825,475,101000,475,80,100,70,60,30,50,60,20,425,5,45,475,435,40
4803,1295,117000,1295,0,10,85,765,335,90,0,0,1230,50,15,1295,1210,85
8401,3255,90000,3255,285,380,480,505,210,480,480,440,2665,570,20,3255,2480,775
4805,1930,77000,1930,70,1250,265,200,40,15,70,30,1205,725,0,1930,1215,715
4918,1550,104000,1550,15,10,0,10,55,700,640,105,955,550,45,1550,1315,235
4703,1785,74500,1785,275,900,335,180,30,0,15,50,1505,350,0,1785,1460,325
4385,1290,102000,1290,0,0,0,15,10,130,900,220,1160,150,0,1290,990,305
2222,1360,48000,1360,810,190,65,40,30,45,65,120,25,1285,50,1360,375,990
3686,955,86000,955,0,40,205,445,135,85,25,20,40,935,0,955,475,480
10,,,,,,,,,,,,0,0,0,,,
7720,2695,99000,2695,10,50,95,1445,440,75,180,405,2480,215,0,2695,2340,355
3073,1180,90000,1180,10,210,295,360,90,85,75,55,865,305,10,1180,995,185
285,110,92000,110,60,35,0,0,0,0,0,0,100,0,10,110,75,30
2863,1055,90000,1055,180,755,55,45,10,0,0,10,660,390,5,1055,570,480
6964,1895,105000,1895,15,10,0,30,245,425,755,415,1890,10,0,1895,1565,330
6426,2580,72000,2580,105,770,550,580,140,230,150,45,1495,1080,5,2580,1550,1030
2387,1010,69500,1010,30,720,160,30,30,20,10,10,695,295,20,1010,720,285
1671,695,66500,695,165,275,105,35,20,30,30,30,595,95,5,695,605,90
4744,1625,113000,1625,215,155,105,330,230,250,140,195,1550,65,10,1625,1495,130
4896,1670,106000,1670,160,620,310,190,180,85,45,90,1450,205,15,1670,1385,285
4557,1825,85000,1825,375,1070,100,80,95,85,20,0,1495,330,0,1825,1370,455
780,250,115000,250,20,40,20,65,55,20,25,0,245,0,5,250,210,35
3892,1465,83000,1465,0,285,470,550,90,30,20,0,1310,115,40,1465,1115,350
9288,3715,70500,3715,25,115,835,335,305,370,360,1375,1400,2315,0,3715,2065,1655
6374,2135,70500,2135,490,1185,210,155,45,25,20,0,970,1140,25,2135,1055,1080
4106,1315,74000,1315,165,765,115,85,35,100,30,20,540,770,5,1315,755,555
6936,2145,106000,2145,0,135,205,1410,260,80,20,25,2065,80,0,2145,1795,355
2862,1305,72000,1305,60,545,330,285,45,25,10,0,945,335,25,1305,925,385
1188,495,72500,495,10,215,95,100,15,10,10,40,315,55,125,495,370,120
5326,2385,73000,2385,305,775,285,145,45,80,265,495,1680,585,120,2385,1755,635
6552,2995,71000,2995,1795,975,100,45,30,30,15,0,2395,600,0,2995,2255,740
435,175,78000,175,65,40,35,15,20,0,0,0,205,0,0,175,160,15
4554,2275,63200,2275,1370,595,130,90,25,10,0,40,1275,995,5,2275,1240,1030
4541,1560,85000,1560,0,50,20,35,250,415,520,265,750,785,25,1560,1280,280
4842,1870,83000,1870,960,685,130,50,20,15,0,0,1610,280,0,1870,1500,370
5323,1955,98000,1955,40,35,20,375,260,475,355,395,1810,130,15,1955,1740,215
7071,2905,72000,2905,210,1015,630,630,135,50,130,110,1855,1055,0,2905,1910,995
5540,2625,63600,2625,1730,440,70,35,10,15,30,295,1880,770,0,2625,1775,850
4142,1625,82000,1625,80,915,245,260,15,10,90,10,1265,345,15,1625,1375,245
5324,1960,108000,1960,280,620,285,280,160,105,85,140,1910,5,45,1960,1810,150
7297,1810,106000,1810,0,45,145,1305,205,50,45,20,1555,245,10,1810,1520,285
7813,3145,53200,3145,1125,1240,240,175,45,60,105,160,300,2850,0,3145,1010,2135
6112,2360,74000,2360,390,465,200,320,125,90,155,625,435,1900,25,2360,1405,955
4031,1570,81000,1570,10,260,130,320,270,470,120,0,980,580,10,1570,1175,400
2009,880,75000,880,10,380,400,80,0,0,0,0,805,75,0,880,760,115
3805,1360,87000,1360,40,730,450,55,10,55,15,0,1180,165,15,1360,1155,205
4711,2170,55600,2170,1175,640,170,100,55,0,15,15,1375,795,0,2170,1215,955
6904,2805,86000,2805,490,410,400,435,360,340,150,220,2190,620,0,2805,2140,665
2013,1055,43600,1055,525,290,75,50,20,45,40,20,140,950,0,1055,305,750
1989,875,69000,875,300,130,45,20,20,15,205,140,220,630,25,875,460,415
6376,2520,71000,2520,580,485,370,475,225,185,130,75,1920,600,0,2520,1740,780
2599,1165,47600,1165,810,235,20,30,10,10,0,40,760,450,0,1165,605,565
4692,2045,72500,2045,170,1580,180,85,10,10,0,15,1135,920,0,2045,1085,960
4201,1380,89000,1380,80,1065,145,65,0,0,0,25,1275,110,0,1380,1185,195
6839,2410,64500,2410,40,240,1100,225,35,80,155,530,1290,1085,35,2410,2035,375
3553,1550,75500,1550,35,850,415,130,50,55,25,0,1050,500,0,1550,1175,375
4672,1665,100000,1665,265,980,275,35,20,25,60,0,1585,65,15,1665,1430,230
755,265,63600,265,10,110,35,50,25,20,0,20,140,5,120,265,215,45
4778,1530,95000,1530,15,75,0,10,40,415,860,115,1320,200,10,1530,1280,245
4149,1635,54000,1635,370,850,125,130,15,25,55,60,765,895,0,1635,415,1215
1521,440,103000,440,0,0,0,0,0,0,15,415,465,15,0,440,410,25
4070,1350,110000,1350,10,10,50,1015,215,40,0,10,1350,0,0,1350,1230,125
3317,1330,70000,1330,420,520,195,75,30,30,30,40,1050,285,0,1330,965,360
3402,1720,51200,1720,870,645,90,55,25,15,0,10,130,1520,70,1720,225,1490
5881,3290,46800,3290,1265,520,80,100,50,20,390,870,30,3280,0,3290,780,2505
5118,2040,82000,2040,230,105,45,85,280,515,420,355,1485,360,195,2040,1615,420
5805,2265,72500,2265,355,645,295,345,165,220,135,105,2020,140,105,2265,1975,285
1365,545,83000,545,60,190,80,45,10,0,25,120,475,95,0,545,445,100
3406,1710,67000,1710,10,50,420,560,240,235,155,35,845,845,20,1710,1275,435
3367,1065,60400,1065,140,720,130,45,10,0,10,0,425,655,0,1065,385,685
2696,860,89000,860,55,205,185,145,10,50,60,145,700,155,5,860,780,80
4016,1685,70000,1685,155,805,395,185,60,40,30,15,885,755,45,1685,965,720
5840,2040,93000,2040,440,435,390,180,120,95,45,330,1980,110,0,2040,1845,195
5408,2480,70000,2480,175,1675,460,95,55,10,0,0,1640,840,0,2480,1380,1095
4495,1610,101000,1610,280,715,365,130,45,20,15,35,1430,190,0,1610,1355,255
0,,,,,,,,,,,,0,0,0,,,
7981,2835,105000,2835,0,30,10,130,565,1135,770,190,2365,425,45,2835,2065,770
8395,3750,34800,3750,135,150,75,170,235,255,795,1940,190,3825,0,3750,255,3500
6543,3030,67000,3030,190,890,685,370,115,140,330,305,1835,1080,115,3030,2000,1035
6807,2040,111000,2040,10,20,30,410,995,435,110,35,2050,0,0,2040,1760,280
5540,2375,62400,2375,110,1265,545,320,80,20,10,25,0,2370,5,2375,625,1755
5925,2835,41600,2835,1085,930,245,245,95,105,40,90,390,2445,0,2835,715,2120
3621,1265,77000,1265,65,800,275,65,30,20,0,0,1210,50,5,1265,870,395
3455,1055,106000,1055,10,60,245,550,15,105,65,15,795,235,25,1055,730,320
5266,1865,107000,1865,40,220,1095,400,35,15,15,40,1750,125,0,1865,1685,180
4123,1755,66000,1755,475,930,180,65,30,60,10,0,365,1370,20,1755,870,880
3313,1435,87000,1435,920,385,75,20,10,10,0,10,1070,385,0,1435,970,465
6731,2505,72500,2505,170,1265,605,160,60,55,135,65,360,2145,0,2505,1320,1190
4595,1825,94000,1825,180,990,35,30,25,205,340,20,1230,590,5,1825,1525,300
6996,3550,47200,3550,75,460,240,790,320,735,315,620,105,3445,0,3550,1800,1750
2360,965,118000,965,510,120,90,65,45,35,30,75,765,155,45,965,770,195
2377,1400,59600,1400,595,615,75,75,15,10,0,10,10,1385,5,1400,45,1360
4794,2310,55200,2310,130,225,490,830,140,135,65,300,1205,1060,45,2310,1510,805
7707,2655,79500,2655,670,1275,375,220,50,35,15,15,1570,1080,5,2655,1710,945
3440,1520,65500,1520,1315,115,10,10,0,0,0,70,770,765,0,1520,820,705
5082,2945,54000,2945,415,580,190,175,85,125,400,980,350,2605,0,2945,815,2135
2838,1145,63600,1145,235,510,105,90,30,115,45,15,960,55,130,1145,1020,130
5298,2400,64500,2400,580,900,180,185,60,105,170,215,1030,1360,10,2400,910,1490
4830,2535,62000,2535,650,1250,260,165,35,35,80,70,690,1805,40,2535,1005,1525
6570,3155,50400,3155,370,1920,390,220,60,30,25,140,335,2810,10,3155,685,2470
2447,875,113000,875,0,0,50,525,215,50,35,0,850,25,0,875,830,45
3134,1075,79500,1075,45,750,95,135,40,0,10,0,1075,45,0,1075,885,190
3914,1480,61200,1480,570,305,235,295,35,15,10,10,530,955,0,1480,625,845
1077,285,77500,285,10,40,50,45,45,60,10,25,285,0,0,285,45,0
3726,915,108000,915,0,0,15,130,605,105,45,15,895,15,5,915,820,95
4674,1275,111000,1275,10,0,15,55,345,760,80,10,1245,0,30,1275,1035,235
2604,890,107000,890,190,125,80,155,20,45,200,75,850,20,20,890,830,60
6318,2670,69000,2670,350,625,645,560,80,75,120,215,2330,340,0,2670,1970,705
3761,1600,68500,1600,35,460,625,280,155,35,0,0,1040,530,30,1600,1270,325
4604,1790,79000,1790,85,475,380,485,185,160,15,0,1225,560,5,1790,1425,365
2471,995,77000,995,120,220,115,80,90,100,150,120,945,45,5,995,840,150
6667,2435,64500,2435,385,905,560,380,75,85,35,20,785,1650,0,2435,1055,1385
3626,1325,68500,1325,30,515,675,75,20,0,0,0,625,700,0,1325,1155,170
2029,990,74000,990,680,95,40,60,45,10,40,15,735,240,15,990,750,245
9405,3595,82000,3595,20,165,285,620,655,435,420,1005,2980,540,75,3595,2455,1140
3373,1305,60800,1305,310,870,60,55,0,0,0,0,5,1315,0,1305,495,815
4561,2215,60000,2215,1270,620,130,65,35,35,50,15,200,2020,0,2215,765,1450
4262,1405,82000,1405,885,355,45,35,25,0,30,35,980,390,35,1405,930,475
7299,3750,51200,3750,430,985,295,755,415,340,325,205,1700,2050,0,3750,1645,2110
5152,2515,58400,2515,1700,470,90,85,20,45,60,45,1435,1095,0,2515,1255,1255
5094,2000,74500,2000,275,975,545,90,55,10,10,40,1405,605,0,2000,1435,560
4531,1585,102000,1585,720,640,95,55,50,10,10,10,1455,135,0,1585,1305,285
3569,1480,75500,1480,15,520,365,190,20,105,165,100,1180,305,0,1480,1235,245
8874,2580,105000,2580,45,90,310,380,75,265,835,580,2345,295,0,2580,2190,385
7961,2960,88000,2960,215,575,200,210,370,315,200,870,2460,495,5,2960,2290,675
1226,425,76500,425,15,235,70,35,0,20,25,20,345,80,0,425,325,100
6209,2230,94000,2230,125,465,335,340,350,230,235,140,1965,75,190,2230,2080,150
0,,,,,,,,,,,,0,0,0,,,
3762,1240,144000,1240,120,205,190,265,220,85,110,50,1230,5,5,1240,1185,55
3442,1485,57200,1485,775,465,100,60,50,20,0,15,205,1285,0,1485,505,980
3281,1175,58000,1175,155,785,75,45,10,10,0,105,5,1220,0,1175,290,885
6329,1730,86000,1730,35,150,905,455,90,45,30,30,865,865,0,1730,1275,460
2619,1230,57600,1230,870,225,50,60,10,0,0,10,885,365,0,1230,790,435
5764,2110,82000,2110,45,10,10,125,160,260,1010,495,1705,400,5,2110,1870,240
5957,3495,44800,3495,1430,1565,230,140,35,20,45,25,10,3490,0,3495,285,3210
5607,2900,52000,2900,395,1400,420,350,180,90,45,20,810,2030,60,2900,840,2060
4124,1605,63600,1605,490,745,75,55,35,40,115,30,1170,430,5,1605,930,675
5651,2075,63600,2075,360,515,295,380,190,100,90,150,535,1545,0,2075,1135,945
4751,2645,54400,2645,200,510,1265,505,90,60,20,10,60,2520,65,2645,965,1680
6365,3470,52400,3470,465,1155,560,310,390,140,210,240,1045,2430,0,3470,1935,1540
6071,2660,67500,2660,540,1455,335,130,15,0,40,145,2200,460,0,2660,2095,570
2623,975,93000,975,740,100,25,25,25,25,10,30,775,225,0,975,730,245
8244,2405,101000,2405,40,565,740,350,235,70,200,205,2205,220,0,2405,1960,440
1603,835,54400,835,355,140,50,65,50,25,10,135,90,710,35,835,315,515
4955,1745,118000,1745,0,40,1410,265,15,10,10,0,1740,0,5,1745,1680,65
3389,1460,81000,1460,1005,320,25,55,15,10,15,15,1045,410,5,1460,1085,375
6826,2730,76500,2730,550,1140,540,265,75,50,30,75,1715,1000,15,2730,1665,1065
4052,1535,44000,1535,530,680,110,115,30,40,15,10,10,1555,0,1535,180,1360
7833,2420,101000,2420,0,10,10,70,1010,610,360,340,2145,270,5,2420,1965,450
6383,2690,76500,2690,395,925,285,290,280,270,145,100,2025,450,215,2690,2205,485
6826,1940,125000,1940,0,45,235,1360,245,35,20,0,1875,60,5,1940,1820,115
15432,5795,92000,5795,265,430,430,460,755,875,1120,1450,5245,550,0,5795,4310,1480
4558,3125,60400,3125,420,1095,360,280,360,215,210,195,95,3000,30,3125,965,2160
3346,1360,71000,1360,635,340,100,105,65,80,20,10,1220,120,20,1360,1130,230
3887,1415,104000,1415,25,390,855,105,15,15,0,0,1405,15,0,1415,1315,100
3530,1325,108000,1325,100,405,85,75,35,300,220,110,965,330,30,1325,1180,145
5349,3035,68500,3035,635,1190,485,390,90,95,85,55,260,2765,10,3035,985,2050
2594,1170,65500,1170,655,240,135,55,10,0,60,10,255,915,0,1170,525,645
3629,1275,120000,1275,0,15,395,575,230,20,35,0,1265,5,5,1275,1215,55
2168,880,72000,880,565,210,40,20,0,10,15,15,830,50,0,880,695,185
5024,2110,70500,2110,1185,750,65,65,15,0,10,15,1430,705,0,2110,1235,875
0,,,,,,,,,,,,0,0,0,,,
2257,1220,41200,1220,760,290,50,45,15,0,55,0,350,885,0,1220,485,730
5002,1770,91000,1770,15,490,1095,135,20,0,0,0,1720,35,15,1770,1335,430
3000,990,112000,990,45,145,240,185,135,130,45,60,920,90,0,990,865,125
2822,1130,54800,1130,165,750,100,85,25,0,0,0,90,1040,0,1130,230,900
2813,985,157000,985,775,70,10,30,25,30,20,30,960,35,0,985,905,85
4766,2160,74500,2160,320,665,150,120,50,645,190,20,395,1735,30,2160,855,1300
4273,1470,103000,1470,10,210,245,215,95,355,300,40,1215,250,5,1470,1220,250
3318,1185,88000,1185,105,220,195,335,55,40,80,155,965,205,15,1185,1015,165
2898,850,129000,850,0,20,370,420,10,10,10,0,840,40,0,850,820,30
7680,2815,87000,2815,145,350,475,290,455,205,105,790,2400,380,35,2815,2455,360
10739,3675,97000,3675,20,10,10,10,15,100,1325,2180,3130,565,0,3675,2785,890
4137,1885,63200,1885,225,510,425,345,195,60,15,105,960,920,5,1885,1110,780
9114,3790,75000,3790,180,645,570,635,225,490,645,390,1920,1870,0,3790,2405,1385
7567,2795,93000,2795,1190,405,225,250,80,135,305,205,1545,1285,0,2795,1930,865
2590,1370,42000,1370,895,250,125,70,10,0,0,15,615,755,0,1370,405,970
885,390,58400,390,110,160,45,35,15,20,0,0,370,10,10,390,355,35
2981,1180,58400,1180,75,480,195,255,35,75,50,10,465,705,10,1180,530,650
3742,2165,38800,2165,960,625,180,165,55,40,95,40,200,1995,0,2165,465,1705
3242,1365,78500,1365,840,240,35,20,25,15,60,130,915,435,15,1365,805,565
3067,1535,56400,1535,60,445,130,595,120,95,45,35,730,790,15,1535,1115,420
1452,560,38400,560,200,150,55,55,30,25,30,15,235,475,0,560,65,495
1244,545,50400,545,45,175,105,95,30,30,20,40,535,0,10,545,435,60
4582,1655,117000,1655,0,20,35,695,405,290,215,0,1675,0,0,1655,1575,90
6921,2755,86000,2755,810,300,130,170,325,230,220,575,2380,375,0,2755,2285,470
4855,2085,66500,2085,230,550,390,230,55,30,35,565,865,1215,5,2085,805,1280
4043,1490,121000,1490,160,395,695,190,0,30,0,15,1140,300,50,1490,1140,350
2586,1300,56000,1300,880,215,100,30,10,10,35,20,20,1300,0,1300,405,895
6056,2510,67000,2510,1100,925,240,70,65,35,20,60,2120,385,5,2510,1835,675
2683,850,109000,850,0,10,0,0,0,10,215,615,775,75,0,850,790,65
4185,1485,103000,1485,120,1275,55,10,10,0,0,15,1260,225,0,1485,1265,225
7533,3925,60400,3925,60,305,960,1275,440,290,205,390,1085,2840,0,3925,2415,1510
5636,2010,68000,2010,60,1275,375,160,40,85,10,10,1415,615,0,2010,1055,955
4194,1210,111000,1210,10,60,100,980,40,10,0,0,1140,45,25,1210,985,225
1609,640,92000,640,345,275,10,0,0,0,0,0,590,30,20,640,590,50
5132,2200,80000,2200,150,500,275,575,165,205,150,170,1925,135,140,2200,1920,280
7213,2435,84000,2435,895,1020,125,75,35,15,95,165,1525,910,0,2435,1755,680
4486,1575,114000,1575,120,495,300,305,100,55,45,165,1545,0,30,1575,1495,80
4646,1985,79000,1985,65,345,120,230,320,455,165,285,1245,600,140,1985,1375,605
3242,1175,69500,1175,345,665,45,20,10,15,50,15,950,235,0,1175,735,440
3883,1455,107000,1455,80,235,235,240,165,195,215,90,1260,175,20,1455,1240,220
2970,915,81000,915,55,690,85,65,15,0,0,0,490,410,15,915,570,340
4844,1835,82000,1835,340,1235,100,45,10,15,0,75,1315,530,0,1835,1325,505
5985,2015,78000,2015,125,1455,240,130,25,20,0,15,1170,840,5,2015,1335,680
4190,1230,93000,1230,0,0,20,20,320,675,175,0,1000,255,0,1230,945,285
4527,1575,84000,1575,140,235,415,490,80,45,75,95,665,915,0,1575,1130,450
6411,1825,108000,1825,0,0,30,35,195,835,260,475,1830,30,0,1825,1525,305
5535,1920,109000,1920,90,435,315,350,220,240,155,110,1755,120,45,1920,1735,185
5034,1800,91000,1800,230,225,210,505,135,275,195,25,1630,165,5,1800,1450,355
3728,1375,86000,1375,300,450,50,55,25,305,45,145,660,740,0,1375,1040,335
6149,2045,114000,2045,0,40,455,1320,205,0,15,0,1965,80,0,2045,1890,155
13157,3910,112000,3910,15,15,30,325,900,1700,815,120,3895,15,0,3910,3515,395
3355,1240,147000,1240,795,170,55,70,50,40,45,20,865,390,0,1240,860,385
20,,,,,,,,,,,,0,0,0,,,
3010,1655,53600,1655,710,195,55,110,30,215,300,40,15,1645,0,1655,545,1110
6203,2115,92000,2115,635,215,875,155,65,55,105,10,1895,215,5,2115,1855,260
9316,4185,74000,4185,50,155,755,960,815,570,605,275,1545,2635,5,4185,3245,935
5848,2215,78500,2215,80,1545,225,105,15,110,10,130,1475,735,5,2215,1590,625
3457,1180,104000,1180,90,475,360,160,25,35,10,25,765,395,20,1180,985,195
5204,1955,79000,1955,115,1350,155,70,100,60,85,20,1445,490,20,1955,1485,470
