Total Population,Total Households,Total Households For Period Of Construction,Total Households For Period Of Construction Built Before 1961,Total Households For Period Of Construction Built Between 1961 And 1980,Total Households For Period Of Construction Built Between 1981 And 190,Total Households For Period Of Construction Built Between 1991 And 2000,Total Households For Period Of Construction Built Between 2001 And 2005,Total Households For Period Of Construction Built Between 2006 And 2010,Total Households For Period Of Construction Built Between 2011 And 2015,Total Households For Period Of Construction Built Between 2016 And 2021,Total Households For Structure Type Houses,"Total Households For Structure Type Apartment, Building Low And High Rise",Total Households For Structure Type Other Dwelling Types,Total Households for Tenure,Dwellings by Tenure Owner,Dwellings by Tenure Renter
6521,2110,2110,60,790,970,195,25,45,0,20,1535,575,0,2110,1890,220
6302,3150,3150,475,1010,535,330,110,250,165,280,990,2160,0,3150,1660,1485
4559,1595,1595,85,740,405,250,70,15,15,15,1515,40,40,1595,1475,120
4207,1555,1555,230,690,375,135,30,15,20,60,1095,445,15,1555,960,590
3965,1775,1775,485,720,145,90,15,15,70,240,770,1000,5,1775,920,860
3722,1575,1575,260,475,175,210,90,100,140,130,815,775,0,1575,775,800
2945,1255,1255,575,480,70,30,20,40,40,0,1080,190,0,1255,995,260
2742,990,990,0,70,175,165,45,390,105,50,560,290,140,990,680,305
2179,825,825,255,150,0,10,20,160,190,40,695,120,10,825,755,75
3410,1360,1360,1080,170,55,20,10,0,0,20,805,595,0,1360,735,625
5933,1560,1560,10,50,350,715,335,80,25,0,1165,390,5,1560,1345,210
6577,1435,1435,0,20,15,45,65,585,595,110,1405,40,0,1435,1295,140
6160,2915,2915,820,1425,445,180,30,15,0,0,400,2520,0,2915,1115,1800
5564,1945,1945,245,965,400,215,40,30,15,45,1515,380,50,1945,1500,445
7000,2680,2680,70,405,735,355,235,40,140,690,2165,520,0,2680,2135,545
4124,1370,1370,10,15,0,0,15,260,370,695,1070,360,0,1370,830,550
3197,1135,1135,90,380,260,165,45,100,70,25,1135,10,0,1135,1080,50
3291,1305,1305,15,65,230,450,215,165,60,100,790,510,5,1305,840,460
5039,1945,1945,60,240,75,265,195,290,435,385,1350,565,30,1945,1465,480
4740,1600,1600,65,1260,165,75,15,10,0,10,1225,335,40,1600,1155,440
3671,1760,1760,770,695,135,80,25,25,20,10,940,830,0,1760,820,945
8047,2520,2520,20,15,10,90,470,575,685,660,2410,125,0,2520,2030,490
6583,2610,2610,30,675,210,230,160,655,465,185,1860,640,110,2610,1800,810
4451,1545,1545,10,50,375,740,315,25,20,10,1540,10,0,1545,1390,150
6442,2040,2040,50,305,845,560,200,40,20,25,975,1070,0,2040,1000,1050
3840,1685,1685,580,790,180,110,20,0,0,0,470,1215,0,1685,800,885
2174,860,860,750,55,10,20,10,10,0,0,570,275,15,860,700,160
5201,2215,2215,290,1240,345,180,45,55,35,25,780,1280,155,2215,890,1325
1484,430,430,0,0,0,0,0,0,10,410,435,0,0,430,380,50
578,370,370,250,50,45,15,0,0,0,0,60,310,0,370,155,215
2351,770,770,0,15,0,25,250,145,60,280,765,5,0,770,725,40
4038,1095,1095,0,0,0,10,170,235,475,190,1140,0,0,1095,1020,75
5293,2050,2050,110,395,420,655,160,160,70,75,1870,180,0,2050,1890,160
7983,4125,4125,70,440,825,945,655,425,225,535,1855,2235,35,4125,2785,1340
5062,3065,3065,505,1265,360,260,370,85,165,60,450,2630,0,3065,930,2140
4380,2290,2290,820,145,70,310,290,225,185,250,1230,1045,15,2290,1285,1005
5334,2185,2185,820,635,180,310,95,20,50,80,2100,65,20,2185,1955,235
5083,1355,1355,0,0,10,315,655,295,35,30,1340,10,5,1355,1200,150
5087,2180,2180,1120,655,60,30,25,55,180,70,1890,290,0,2180,1890,295
4114,1995,1995,130,1070,530,130,50,65,30,0,1120,865,10,1995,1270,725
3439,1840,1840,380,540,225,275,85,120,75,140,315,1490,35,1840,565,1280
5081,1980,1980,190,1135,95,190,290,60,10,10,1335,650,0,1980,1140,840
5068,1570,1570,10,95,895,425,105,35,0,10,1180,380,10,1570,1330,240
3973,2215,2215,960,355,205,320,140,45,110,85,35,2175,5,2215,815,1400
3810,1420,1420,20,0,350,195,565,255,25,10,1140,290,0,1420,1250,170
6420,2415,2415,215,1000,685,155,60,100,130,60,1915,525,0,2415,1975,440
4639,1820,1820,485,220,125,255,85,395,80,175,375,1515,0,1820,1095,725
6487,1710,1710,0,10,15,235,1225,165,20,20,1610,115,0,1710,1515,195
4877,1750,1750,485,490,125,210,140,75,120,110,1775,10,0,1750,1595,160
6372,2630,2630,55,225,100,505,585,690,280,180,1935,695,0,2630,2040,585
5022,1950,1950,35,275,240,635,315,170,70,210,1330,575,45,1950,1455,490
5691,1890,1890,265,305,230,340,165,135,185,260,815,1070,5,1890,1055,835
7717,3045,3045,160,820,615,540,165,180,230,335,2020,1020,5,3045,2140,915
4250,1570,1570,30,570,795,140,25,0,0,0,650,945,0,1570,1305,260
5472,1880,1880,0,45,310,750,260,170,230,115,1445,440,0,1880,1540,340
4554,1515,1515,75,70,15,95,45,165,280,775,1485,20,10,1515,1175,340
6489,2475,2475,70,320,95,190,160,550,535,555,1895,600,0,2475,1705,765
5752,2070,2070,310,880,95,95,220,330,105,30,1705,375,0,2070,1300,765
3503,1255,1255,395,360,115,130,85,35,60,70,1225,40,0,1255,1015,240
5286,1335,1335,0,35,70,970,195,45,10,10,1170,170,0,1335,1145,190
3635,1390,1390,120,855,185,175,45,0,0,0,1365,5,20,1390,1290,105
5351,2815,2815,475,710,180,180,380,235,375,285,995,1840,0,2815,1190,1625
4204,1375,1375,145,130,650,235,80,55,30,60,1225,135,15,1375,1240,140
3879,1385,1385,310,760,175,90,30,10,0,20,0,1380,5,1385,30,1360
5397,2455,2455,315,1170,445,235,130,45,60,55,615,1845,0,2455,560,1895
4528,1960,1960,125,1145,125,310,120,85,30,10,1540,430,0,1960,1420,540
5828,3465,3465,695,1540,565,405,55,110,45,45,420,3065,0,3465,1320,2140
2628,1045,1045,15,15,180,80,425,310,20,10,770,240,35,1045,875,170
4352,1855,1855,360,955,190,155,85,10,35,65,1495,355,5,1855,1235,615
4308,1760,1760,220,305,330,255,200,160,155,140,1430,330,0,1760,1450,310
7951,2630,2630,1185,820,155,200,100,45,45,95,2065,575,0,2630,1680,955
4612,2065,2065,1565,370,45,40,0,15,10,15,1895,135,35,2065,1685,380
5375,2455,2455,1305,895,85,50,25,25,25,35,1570,890,0,2455,1435,1025
2176,975,975,620,190,65,35,10,15,15,30,450,595,0,975,340,635
5009,1370,1370,0,0,0,15,20,435,660,245,1370,5,0,1370,1255,120
6771,2025,2025,255,720,215,210,105,200,205,110,1825,175,25,2025,1470,555
5477,3360,3360,120,65,50,55,60,85,575,2350,15,3500,0,3360,1180,2180
2955,1140,1140,420,310,100,170,70,40,0,30,1145,5,0,1140,915,225
6954,4375,4375,1040,900,615,380,365,385,280,415,160,4280,0,4375,790,3590
2775,1275,1275,280,285,110,165,50,120,155,105,740,510,25,1275,805,465
4104,2145,2145,1360,530,40,90,20,0,0,95,1240,900,5,2145,1175,970
4165,2010,2010,495,350,165,615,165,160,40,10,490,1470,50,2010,590,1420
511,160,160,0,20,15,20,15,35,35,15,130,20,10,160,0,15
2768,1195,1195,735,280,55,45,35,0,20,30,900,285,10,1195,750,445
3993,1435,1435,235,370,320,220,115,115,30,20,1400,45,0,1435,1290,150
3359,1215,1215,35,60,490,380,80,15,60,100,1105,90,20,1215,1100,115
7666,3330,3330,355,1020,590,350,135,295,345,230,2470,770,90,3330,2440,890
5448,2550,2550,795,865,240,375,55,50,65,105,1770,735,45,2550,1645,910
3404,1195,1195,90,965,100,30,0,10,0,0,1085,85,25,1195,1055,140
4070,1260,1260,30,590,450,160,25,0,0,0,1265,5,0,1260,1160,100
4023,1955,1955,565,660,350,120,90,30,85,50,695,1155,105,1955,420,1535
6586,2630,2630,235,780,535,505,155,135,110,175,2495,40,95,2630,2400,230
4457,1880,1880,60,930,485,300,55,20,25,15,1500,305,75,1880,1615,265
5169,1610,1610,875,225,70,55,30,85,205,70,1190,455,0,1610,1160,450
5489,1775,1775,45,850,435,135,30,40,45,200,1470,315,0,1775,1435,345
5097,1895,1895,385,1115,230,120,0,15,0,25,725,1170,0,1895,1195,700
3329,1140,1140,320,595,165,30,10,10,10,0,210,925,5,1140,480,660
2669,1135,1135,145,595,225,100,30,15,10,20,995,130,10,1135,945,185
4524,1920,1920,210,825,275,170,45,50,205,150,1470,480,0,1920,1435,480
6102,2180,2180,195,395,300,360,245,235,215,225,2100,70,10,2180,2020,155
7631,2675,2675,315,500,265,210,350,375,535,130,1945,735,0,2675,2365,310
1184,480,480,95,150,85,55,15,40,30,15,440,50,0,480,425,60
4947,2640,2640,1145,710,210,180,85,45,40,225,275,2340,25,2640,330,2310
4138,1615,1615,465,825,180,105,20,0,10,0,1225,395,0,1615,1205,410
1682,735,735,215,180,95,65,50,70,40,20,690,45,0,735,640,100
5123,2570,2570,975,980,210,125,100,75,80,30,195,2370,5,2570,805,1765
2373,1145,1145,0,20,50,305,170,165,110,315,205,930,10,1145,980,155
632,260,260,70,65,40,35,0,10,25,20,245,10,5,260,230,35
4551,1600,1600,180,300,65,110,180,390,115,265,1510,110,0,1600,1435,160
4580,1435,1435,55,270,655,170,35,160,75,25,1355,75,5,1435,1320,120
5001,2100,2100,50,1735,230,55,0,20,0,0,1645,425,30,2100,1590,510
2370,755,755,0,0,0,40,420,240,50,0,760,0,0,755,645,115
7993,3945,3945,825,300,355,1045,515,360,275,260,560,3385,0,3945,2265,1680
2427,960,960,650,115,40,45,25,15,35,35,820,115,25,960,835,130
4657,2395,2395,15,25,40,120,330,1005,595,260,60,2320,15,2395,945,1450
4906,1570,1570,45,1065,225,125,45,25,20,20,985,575,10,1570,900,670
4679,2420,2420,380,995,310,155,120,55,125,290,905,1505,10,2420,1045,1380
2521,1055,1055,830,140,35,10,0,10,0,15,330,710,15,1055,480,580
4032,1490,1490,205,925,135,110,50,40,25,15,1065,395,30,1490,1015,475
4478,1950,1950,210,1030,520,95,35,0,0,45,345,1595,10,1950,665,1285
1071,420,420,20,70,65,100,65,45,20,30,415,5,0,420,230,30
925,330,330,25,15,0,0,0,0,0,275,335,35,0,330,220,110
6545,2285,2285,0,0,10,60,410,610,730,465,1820,470,0,2285,1710,580
4507,2110,2110,680,495,475,240,70,75,50,30,810,1265,35,2110,980,1130
5366,1535,1535,0,0,45,315,370,540,135,110,1490,65,0,1535,1160,370
5466,2335,2335,1480,500,85,60,85,65,15,45,910,1430,0,2335,1285,1050
3933,1475,1475,260,280,265,330,195,65,60,20,1100,370,5,1475,1065,410
3781,1410,1410,340,505,260,180,65,25,15,25,1085,320,5,1410,1155,255
3178,1375,1375,640,550,65,80,15,15,10,0,1065,280,30,1375,1080,300
7346,2905,2905,940,435,330,245,95,175,245,435,1010,1895,0,2905,1750,1150
712,235,235,15,85,25,40,15,15,25,15,190,0,45,235,145,25
3886,1345,1345,0,10,145,855,130,55,150,0,885,490,0,1345,1135,210
6704,2040,2040,35,95,410,1040,225,220,10,20,1910,135,0,2040,1700,345
4105,1375,1375,95,875,155,65,25,30,55,75,1295,80,0,1375,1145,235
3787,1285,1285,150,400,130,170,115,125,50,150,1100,180,5,1285,1130,150
2344,1105,1105,170,190,80,225,140,90,135,70,980,60,65,1105,990,110
4451,2045,2045,1130,615,105,65,35,50,15,30,1275,785,0,2045,1205,840
3967,1015,1015,0,0,0,20,555,380,40,20,1000,15,0,1015,905,110
2398,1280,1280,705,230,150,60,60,25,30,30,20,1320,0,1280,360,925
3603,1500,1500,140,1125,65,45,0,10,25,95,1095,410,0,1500,1040,460
4911,1815,1815,35,1415,265,50,20,10,10,15,1670,150,0,1815,1385,430
4047,1520,1520,395,270,225,200,100,115,95,110,380,1170,0,1520,745,780
5772,2005,2005,145,260,205,370,230,335,285,175,1875,75,55,2005,1840,165
4666,1775,1775,0,25,40,195,880,525,95,15,1180,585,10,1775,1385,390
6541,1620,1620,0,15,15,65,85,805,585,50,1610,40,0,1620,1220,395
6810,3375,3375,280,500,450,650,250,440,420,375,1390,1985,0,3375,1200,2175
6821,2300,2300,315,1165,140,115,100,195,215,45,1305,965,30,2300,1180,1120
7070,2475,2475,460,480,335,460,300,85,130,220,605,1900,0,2475,1345,1125
4341,1340,1340,10,0,0,0,30,505,725,60,1135,205,0,1340,1170,175
3430,1340,1340,600,645,20,35,15,15,0,10,1060,245,35,1340,1020,320
1778,835,835,300,270,60,50,35,15,40,70,405,450,0,835,415,420
2647,1065,1065,915,95,20,20,0,0,0,0,635,385,45,1065,730,340
4501,2850,2850,910,1300,220,200,35,125,20,35,55,2835,0,2850,680,2170
4564,2160,2160,235,775,210,225,135,180,100,305,1520,635,5,2160,1620,545
3346,1275,1275,70,15,610,440,40,45,55,0,1170,115,0,1275,1175,105
4966,1805,1805,195,370,405,435,135,105,65,105,355,1440,10,1805,960,850
5032,2000,2000,945,355,195,165,65,75,100,95,505,1565,0,2000,1000,995
4595,2000,2000,20,0,15,30,105,860,655,320,805,1215,0,2000,1435,560
4092,1640,1640,365,890,135,125,35,25,25,45,1105,465,70,1640,930,715
6862,3030,3030,50,920,405,500,235,325,270,330,1950,1080,0,3030,1955,1080
4370,2200,2200,665,945,340,190,20,20,25,10,645,1520,35,2200,640,1565
6534,2545,2545,340,495,240,260,530,340,230,120,2490,60,0,2545,2320,215
5430,1860,1860,40,840,650,245,25,10,25,35,1425,415,20,1860,1650,215
2649,1030,1030,370,565,55,20,0,0,0,0,915,120,0,1030,690,340
3102,1155,1155,0,20,165,440,385,120,15,0,1140,0,15,1155,1025,130
2089,860,860,210,485,45,25,35,30,15,10,690,155,15,860,605,250
4450,2480,2480,590,1195,200,230,35,60,90,95,275,2210,0,2480,735,1745
7692,4510,4510,805,945,430,880,410,145,365,530,605,3875,30,4510,1820,2690
5803,1695,1695,175,250,435,465,100,145,55,70,1380,315,0,1695,1450,250
1969,755,755,55,450,140,55,35,15,0,10,375,380,0,755,250,505
3074,1395,1395,935,170,40,75,15,70,55,40,1105,290,0,1395,1130,270
5088,1750,1750,35,135,165,420,455,275,180,95,1720,10,20,1750,1675,75
6195,2690,2690,1630,605,70,40,20,155,40,135,1080,1560,50,2690,1905,785
3780,1210,1210,325,290,150,125,40,120,115,50,1115,65,30,1210,1085,130
7176,3230,3230,35,75,240,1510,760,390,200,15,0,3260,0,3230,2190,1045
4345,1605,1605,315,500,160,85,40,35,280,195,1565,30,10,1605,1490,115
3626,1155,1155,0,105,390,420,115,100,10,10,560,600,0,1155,965,190
6335,2325,2325,1015,845,125,190,25,50,65,15,820,1495,10,2325,1050,1275
8396,2930,2930,40,55,110,770,920,500,270,270,2540,395,0,2930,2025,905
4188,2145,2145,1255,510,95,105,55,30,60,30,355,1795,0,2145,745,1400
4477,1840,1840,20,70,710,580,390,55,20,0,1470,380,0,1840,1595,245
4261,1635,1635,1195,250,65,55,30,15,0,20,1110,540,0,1635,1165,470
4697,2310,2310,255,860,180,175,45,30,600,180,30,2280,0,2310,535,1775
4146,1335,1335,130,520,205,135,110,150,60,20,660,700,0,1335,490,845
9479,3895,3895,645,1195,270,370,310,480,385,230,3105,555,235,3895,3210,680
4340,2245,2245,1380,585,85,90,45,25,15,15,1320,895,30,2245,1045,1195
2688,1370,1370,920,280,50,20,30,30,25,15,75,1295,0,1370,165,1200
4650,1240,1240,15,165,740,215,40,15,10,30,965,305,0,1240,975,270
5314,1965,1965,285,255,870,360,110,20,15,70,1465,490,10,1965,1605,360
2043,790,790,10,770,0,0,0,0,0,0,785,10,0,790,710,75
4381,1605,1605,25,135,215,250,330,25,130,500,1045,565,0,1605,1145,460
14189,5330,5330,45,0,0,20,10,30,1215,4010,3410,1925,0,5330,3975,1360
4985,1460,1460,0,0,0,50,595,610,180,15,1470,5,0,1460,1335,120
3153,1390,1390,505,175,220,85,25,80,175,115,615,775,0,1390,745,645
6174,1840,1840,15,0,15,75,890,280,285,275,1685,140,15,1840,1565,275
5768,2170,2170,120,1140,360,455,80,10,0,0,1690,440,40,2170,1735,430
3096,1485,1485,750,630,60,30,0,0,0,0,1025,440,20,1485,920,565
2376,1300,1300,560,230,155,60,70,80,75,75,35,1240,25,1300,405,890
5447,2255,2255,325,1015,385,215,90,40,45,140,1320,940,0,2255,1655,600
6124,2425,2425,785,1050,335,100,25,45,55,30,1995,440,0,2425,1615,810
6352,2355,2355,110,955,235,220,130,385,225,90,2005,340,10,2355,1910,445
4924,2560,2560,925,865,500,170,50,25,0,20,270,2220,70,2560,675,1880
2701,985,985,125,520,230,50,10,10,30,15,625,350,10,985,630,350
2345,1630,1630,405,775,205,75,30,80,50,10,110,1525,0,1630,380,1245
3169,1355,1355,50,960,260,65,0,10,0,0,1145,185,25,1355,975,380
7226,3000,3000,975,965,285,240,120,105,125,195,2745,255,0,3000,2465,535
2525,975,975,720,65,10,10,10,70,55,35,780,205,0,975,755,215
6730,2010,2010,10,20,55,1540,255,90,25,10,1970,30,10,2010,1760,255
3114,875,875,10,90,675,75,15,0,0,0,805,65,5,875,810,60
5151,3225,3225,1010,1430,400,235,90,45,0,20,85,3125,15,3225,305,2920
6077,2170,2170,45,365,810,535,205,155,55,0,1965,205,0,2170,1530,640
3517,1620,1620,755,655,105,70,10,10,0,10,705,940,0,1620,625,995
5764,2040,2040,225,615,240,310,265,210,110,60,1775,5,260,2040,1845,195
3832,1655,1655,615,495,130,25,45,60,175,105,895,730,30,1655,690,965
2256,930,930,10,35,105,130,15,15,55,565,455,400,75,930,715,175
2109,1070,1070,140,285,60,100,305,85,45,45,605,425,40,1070,630,440
4964,1960,1960,50,1020,345,410,55,10,15,60,1710,235,15,1960,1565,395
4629,1760,1760,265,280,390,475,200,110,20,25,1580,155,25,1760,1570,190
3622,1825,1825,675,950,150,40,10,0,0,0,510,1300,15,1825,545,1280
4664,1830,1830,90,420,360,450,155,150,90,115,1635,65,130,1830,1680,150
1814,1030,1030,305,320,160,85,40,55,55,20,5,1035,0,1030,175,850
11590,3655,3655,0,15,35,740,750,570,840,710,3170,495,0,3655,2985,670
8853,2870,2870,25,45,395,1315,360,225,445,60,2155,715,0,2870,2125,740
3219,1540,1540,325,775,200,100,45,25,65,10,935,610,0,1540,1020,520
2985,1215,1215,935,145,55,40,10,15,0,10,705,520,0,1215,835,385
4020,1460,1460,140,300,315,385,190,40,80,15,1295,165,0,1460,1310,150
2110,635,635,0,25,55,385,90,45,30,10,395,225,15,635,490,145
3511,1765,1765,945,670,80,30,20,0,0,15,195,1585,0,1765,430,1335
2391,1240,1240,795,195,70,85,25,35,10,20,475,740,25,1240,380,865
2369,1295,1295,580,395,50,35,55,45,100,35,415,845,35,1295,360,930
6136,2115,2115,110,440,240,295,535,300,100,95,1830,295,0,2115,1890,225
4551,1440,1440,15,20,35,530,445,205,145,45,1355,25,60,1440,1340,100
5899,1780,1780,45,160,385,815,180,65,65,60,410,1365,5,1780,1020,765
3447,1085,1085,275,580,90,50,20,25,20,20,700,345,40,1085,845,235
3146,1010,1010,10,0,0,30,70,225,540,135,875,140,0,1010,650,365
4571,1450,1450,0,35,100,1205,80,15,20,0,1405,15,30,1450,1295,150
7082,3250,3250,1295,1270,330,165,65,50,45,30,605,2630,15,3250,790,2460
2322,930,930,685,170,30,40,0,10,0,0,50,965,0,930,210,720
3502,1190,1190,20,620,450,50,0,10,0,30,1040,115,35,1190,990,200
4091,1560,1560,75,390,260,190,100,165,215,155,1365,180,15,1560,1305,250
715,270,270,40,30,20,95,65,10,15,10,250,5,15,270,235,35
4898,2400,2400,485,905,255,515,90,30,30,105,355,2040,5,2400,620,1780
4910,1800,1800,355,395,445,310,90,65,65,75,1760,50,0,1800,1630,175
5651,2205,2205,940,595,290,240,75,30,10,15,1825,400,0,2205,1630,575
2253,895,895,575,240,25,10,0,20,0,15,845,70,0,895,765,125
3688,1815,1815,565,885,100,200,35,10,0,15,70,1740,5,1815,710,1110
4999,1950,1950,535,1140,150,65,25,10,10,25,1510,420,20,1950,1450,500
4795,1740,1740,25,775,795,115,10,15,0,0,1660,85,0,1740,1285,450
5328,1520,1520,0,0,0,15,45,475,690,295,1435,95,0,1520,1095,425
2650,1435,1435,185,775,135,100,35,15,40,145,5,1455,0,1435,35,1400
5454,1750,1750,40,95,435,480,610,70,10,10,1195,550,5,1750,1040,710
6132,2165,2165,195,905,405,450,155,40,0,10,1615,550,0,2165,1630,530
5204,1835,1835,10,230,460,515,300,145,90,75,1610,200,25,1835,1630,195
4916,2530,2530,350,1405,430,185,70,50,15,20,290,2230,10,2530,615,1915
3197,1595,1595,1040,300,70,65,15,25,45,50,780,810,5,1595,860,735
5178,2190,2190,245,1460,135,125,90,70,30,35,1085,1065,40,2190,1145,1045
2697,920,920,55,375,60,85,45,95,115,85,735,190,0,920,715,205
1650,575,575,250,60,25,110,35,30,35,25,550,15,10,575,540,30
5695,1880,1880,65,310,840,610,30,0,15,0,795,1090,0,1880,1565,315
3477,1650,1650,815,430,80,70,50,25,140,40,335,1305,10,1650,855,800
8164,3070,3070,180,840,390,475,390,325,225,240,2865,210,0,3070,2780,290
3883,1170,1170,45,355,265,120,130,135,65,60,645,565,0,1170,810,355
2443,1070,1070,600,365,50,15,10,10,0,15,835,215,20,1070,760,310
4443,990,990,10,0,10,60,600,230,40,30,920,85,0,990,895,90
3168,840,840,0,10,20,300,440,40,25,0,820,25,0,840,770,75
6124,2270,2270,270,1485,260,175,50,20,0,0,1675,585,10,2270,1275,990
4592,1760,1760,375,725,140,130,75,165,110,40,1730,60,0,1760,1580,180
6159,2250,2250,290,905,445,215,90,85,80,145,1150,1100,0,2250,1420,830
1955,1085,1085,810,160,55,0,0,10,25,30,5,1095,0,1085,320,765
1312,510,510,115,160,80,30,40,40,25,25,505,5,0,510,490,25
3000,1520,1520,1015,310,55,40,15,50,20,15,650,820,50,1520,535,990
1291,695,695,265,75,0,135,15,150,50,0,30,710,0,695,230,470
3516,1290,1290,55,575,280,135,85,60,70,45,980,270,40,1290,760,530
3504,1615,1615,60,850,200,355,65,30,40,15,820,760,35,1615,800,815
4510,1740,1740,110,340,245,280,380,145,130,100,1305,240,195,1740,1400,335
1758,785,785,470,155,55,45,25,10,0,15,500,265,20,785,570,215
4219,1655,1655,700,455,270,135,30,10,10,45,745,875,35,1655,815,835
5406,2360,2360,180,1365,505,240,25,20,10,15,1135,1220,5,2360,615,1750
4036,1885,1885,475,850,160,160,15,15,15,195,330,1545,10,1885,555,1330
4825,3095,3095,170,1590,765,210,70,10,60,220,260,2870,0,3095,370,2730
2797,1320,1320,470,335,165,70,125,35,115,0,5,1355,0,1320,220,1100
4302,1315,1315,10,0,30,900,305,60,10,0,1310,0,5,1315,1210,105
1364,745,745,250,290,80,60,15,15,25,20,15,705,25,745,145,600
3390,1105,1105,200,100,15,15,55,410,125,180,820,260,25,1105,905,200
8480,5390,5390,70,0,20,110,440,1250,2490,1020,165,5310,0,5390,2605,2785
7336,2755,2755,75,225,345,675,195,420,325,490,2120,665,0,2755,2265,485
7154,2695,2695,190,380,325,360,275,385,415,365,2120,530,45,2695,1970,730
3937,1635,1635,30,790,470,215,50,30,35,15,1105,510,20,1635,930,705
4167,1640,1640,300,670,130,195,105,95,80,60,1465,205,0,1640,1310,330
2835,1270,1270,1025,145,50,35,0,0,0,10,900,390,0,1270,760,510
5774,2940,2940,1250,935,235,185,70,180,40,50,790,2150,0,2940,930,2005
4616,1455,1455,20,115,575,425,80,35,135,80,845,610,0,1455,1100,360
5384,1995,1995,210,740,325,395,85,30,30,175,1660,320,15,1995,1655,340
3119,1095,1095,60,205,300,340,60,60,35,30,1080,0,15,1095,1080,15
4653,1750,1750,1395,185,50,20,40,15,10,40,1405,380,0,1750,1445,305
4110,1320,1320,0,0,0,15,255,650,325,75,965,355,0,1320,1060,265
3365,1845,1845,0,25,35,240,845,515,160,15,90,1785,0,1845,1020,830
5733,2145,2145,285,590,210,180,135,240,180,325,1940,195,10,2145,1900,250
4225,1570,1570,185,295,175,275,115,265,140,125,1560,0,10,1570,1390,185
4165,2370,2370,970,475,175,80,135,125,185,225,45,2340,0,2370,760,1615
3703,1225,1225,170,200,170,160,95,85,125,220,225,990,10,1225,610,610
5643,2150,2150,100,340,465,530,350,235,90,40,2090,65,0,2150,1885,270
2755,1450,1450,215,820,210,105,25,55,10,15,355,1095,0,1450,450,1000
7333,2785,2785,475,480,540,460,170,215,245,205,1095,1690,0,2785,1730,1055
4286,1545,1545,80,750,220,105,110,100,25,160,1360,180,5,1545,1365,175
6393,2980,2980,770,1200,165,400,195,95,85,65,1195,1775,10,2980,1735,1245
8610,3765,3765,1315,775,500,510,80,115,215,265,1380,2400,0,3765,2125,1645
3778,1375,1375,0,170,85,45,195,50,20,800,890,485,0,1375,950,430
6154,1880,1880,25,100,875,395,175,170,115,30,1635,255,0,1880,1440,450
4108,1360,1360,10,20,0,0,0,10,475,850,1320,65,0,1360,1125,240
2186,1110,1110,340,225,185,95,20,50,150,40,0,1120,0,1110,175,935
4180,1575,1575,15,0,0,20,25,300,905,305,1005,585,0,1575,845,730
4811,1825,1825,425,710,245,145,40,175,60,20,1620,220,0,1825,1580,240
5035,1500,1500,0,15,10,0,15,230,670,550,1395,105,0,1500,1345,150
3999,1330,1330,10,0,10,95,645,240,60,275,1060,260,10,1330,1130,205
4930,1780,1780,95,720,805,75,70,0,15,0,1195,585,0,1780,1325,455
8512,2895,2895,45,880,270,170,185,455,405,480,2790,70,35,2895,2365,535
5290,1650,1650,0,45,45,310,535,480,215,20,1540,105,5,1650,1410,240
2704,1100,1100,480,505,55,30,15,0,0,0,295,745,60,1100,590,505
6307,2235,2235,70,1430,270,190,80,115,50,30,1745,505,0,2235,1590,645
3598,1580,1580,515,470,55,65,30,125,195,125,40,1505,35,1580,635,945
8205,2520,2520,10,0,0,10,10,225,895,1370,2405,145,0,2520,2205,315
2787,1295,1295,675,450,65,60,0,15,15,10,735,540,20,1295,650,650
672,245,245,0,225,0,10,0,0,0,0,210,35,0,245,245,0
3473,1325,1325,985,65,25,25,50,30,85,55,1055,285,0,1325,1080,245
8672,3920,3920,910,1490,370,405,160,130,65,395,385,3540,0,3920,670,3245
2834,1025,1025,60,310,210,175,50,35,70,115,875,125,25,1025,840,190
3419,1050,1050,10,60,485,435,40,15,0,0,1025,20,5,1050,845,205
5002,1720,1720,175,880,265,160,155,45,10,20,1205,485,30,1720,1125,590
434,150,150,0,25,25,30,10,10,20,25,140,0,10,150,20,10
4023,1865,1865,70,1185,390,130,35,30,25,0,1295,450,120,1865,1030,840
4172,1595,1595,315,605,180,70,50,155,180,40,1375,215,5,1595,1320,275
4956,1970,1970,115,185,120,330,390,505,250,70,1150,820,0,1970,1385,585
4665,1705,1705,195,825,395,125,110,30,15,10,200,1500,5,1705,505,1200
3567,945,945,10,20,85,640,110,40,15,25,690,235,20,945,810,140
4718,1760,1760,10,140,1000,590,15,0,0,0,1730,15,15,1760,1515,240
4237,1780,1780,1065,175,215,140,30,10,100,40,960,835,0,1780,1115,655
5104,3140,3140,1275,940,430,205,55,90,25,115,375,2675,90,3140,785,2350
5287,1885,1885,290,520,300,170,0,10,115,475,1735,195,0,1885,1370,525
5293,2095,2095,1290,375,110,130,65,40,35,55,1455,675,0,2095,1390,705
4569,1770,1770,170,830,650,85,10,15,0,0,1750,25,0,1770,1545,220
5338,1415,1415,15,10,0,0,20,120,525,720,1415,5,0,1415,975,435
3999,1335,1335,0,85,825,375,25,10,0,10,1325,10,0,1335,1160,175
3294,1160,1160,15,15,20,270,670,125,50,0,895,220,45,1160,920,245
8352,2910,2910,10,60,105,1285,440,695,285,20,1390,1525,0,2910,2140,765
6297,2340,2340,305,480,300,400,640,175,30,20,1600,740,0,2340,1795,545
